base,spot_price,perp_price,openInterest,market_cap,fdv
ETHFI,1.073,1.0797,23311839.1,604840656.0,1074553938.0
XTZ,0.5819,0.583,12221870.1,619361575.0,631058817.0
PYTH,0.1091,0.10941,79030995.0,627823362.0,1091869931.0
S,0.1702,0.171,60480098.0,645328298.0,662502007.0
GRT,0.0627,0.06287,74288992.0,663497162.0,679043563.0
FET,0.2604,0.2615,104264355.0,679065493.0,707619216.0
CRV,0.5185,0.519,42121095.2,732485818.0,1199646276.0
XPL,0.41,0.4128,268548040.0,739884313.0,4110468404.0
OP,0.4211,0.4225,45850499.4,749174635.0,1809073621.0
STX,0.4253,0.4261,11107060.0,768967536.0,768967536.0
LDO,0.8662,0.8686,24700109.0,777800261.0,868285235.0
2Z,0.22904,0.23089,35230006.0,798054512.0,2298929794.0
INJ,8.37,8.387,2663106.5,819352404.0,838407560.0
TIA,1.003,1.0058,32818621.0,821763460.0,1153390673.0
MORPHO,1.772,1.777,3295179.5,927463438.0,1774574827.0
IMX,0.498,0.4991,18294306.0,965299016.0,995185383.0
CAKE,2.855,2.8995,9205450.0,984008336.0,1026575328.0
FIL,1.475,1.48,19280188.9,1034546179.0,2895381709.0
JUP,0.3409,0.3422,65409540.0,1081968478.0,2392477364.0
TRUMP,5.835,5.844,7575208.55,1169006035.0,5845030961.0
SEI,0.1918,0.1926,134184820.0,1199281888.0,1919192211.0
QNT,83.89,84.11,47760.2,1221079200.0,1226814848.0
PUMP,0.003569,0.003598,32706702194.0,1265904259.0,3575962885.0
RENDER,2.466,2.477,4303022.7,1281521645.0,1317996853.0
PENGU,0.02122,0.021328,1516804088.0,1336768683.0,1696639230.0
PAXG,4238.5,4236.0,24095.62,1359188420.0,1359188420.0
SKY,0.05926,0.05925,82001642.0,1384790793.0,1390787149.0
VET,0.01715,0.01721,378189890.0,1476522407.0,1476522407.0
ATOM,3.171,3.181,7351012.28,1504768310.0,1504785429.0
ALGO,0.1777,0.1784,65209343.6,1570147019.0,1570166724.0
ICP,3.038,3.05,4496109.0,1641302573.0,1641302573.0
